147 true_sum = 52791, estimate_sum = 53581, error = 1.496%
148 true_sum = 52754, estimate_sum = 53517, error = 1.446%
149 true_sum = 52953, estimate_sum = 53574, error = 1.173%
150 true_sum = 53597, estimate_sum = 53765, error = 0.313%
151 true_sum = 52916, estimate_sum = 53435, error = 0.981%
152 true_sum = 52403, estimate_sum = 54700, error = 4.383%
153 true_sum = 53075, estimate_sum = 55323, error = 4.236%
154 true_sum = 53304, estimate_sum = 55159, error = 3.480%
155 true_sum = 53490, estimate_sum = 55532, error = 3.818%
156 true_sum = 52911, estimate_sum = 54935, error = 3.825%
157 true_sum = 53106, estimate_sum = 55500, error = 4.508%
158 true_sum = 53067, estimate_sum = 55026, error = 3.692%
159 true_sum = 53052, estimate_sum = 55434, error = 4.490%
160 true_sum = 52831, estimate_sum = 54986, error = 4.079%
161 true_sum = 52395, estimate_sum = 54762, error = 4.518%
162 true_sum = 52921, estimate_sum = 54640, error = 3.248%
163 true_sum = 53449, estimate_sum = 54934, error = 2.778%
164 true_sum = 53643, estimate_sum = 54521, error = 1.637%
165 true_sum = 54093, estimate_sum = 54741, error = 1.198%
166 true_sum = 53439, estimate_sum = 54410, error = 1.817%
167 true_sum = 52985, estimate_sum = 54357, error = 2.589%
168 true_sum = 52783, estimate_sum = 53904, error = 2.124%
169 true_sum = 52126, estimate_sum = 53716, error = 3.050%
170 true_sum = 52458, estimate_sum = 53398, error = 1.792%
171 true_sum = 52982, estimate_sum = 53778, error = 1.502%
172 true_sum = 53497, estimate_sum = 54067, error = 1.065%
173 true_sum = 54095, estimate_sum = 54403, error = 0.569%
174 true_sum = 53585, estimate_sum = 53795, error = 0.392%
175 true_sum = 53847, estimate_sum = 54308, error = 0.856%
176 true_sum = 54025, estimate_sum = 54516, error = 0.909%
177 true_sum = 53315, estimate_sum = 54405, error = 2.044%
178 true_sum = 53392, estimate_sum = 54721, error = 2.489%
179 true_sum = 53761, estimate_sum = 54889, error = 2.098%
180 true_sum = 53367, estimate_sum = 54283, error = 1.716%
181 true_sum = 53395, estimate_sum = 54708, error = 2.459%
182 true_sum = 54050, estimate_sum = 54677, error = 1.160%
183 true_sum = 53839, estimate_sum = 54651, error = 1.508%
184 true_sum = 54359, estimate_sum = 54571, error = 0.390%
185 true_sum = 55138, estimate_sum = 55259, error = 0.219%
186 true_sum = 55123, estimate_sum = 55126, error = 0.005%
187 true_sum = 56005, estimate_sum = 55680, error = -0.580%
188 true_sum = 56068, estimate_sum = 55179, error = -1.586%
189 true_sum = 56186, estimate_sum = 55855, error = -0.589%
190 true_sum = 55682, estimate_sum = 54024, error = -2.978%
191 true_sum = 55845, estimate_sum = 53932, error = -3.426%
192 true_sum = 56300, estimate_sum = 53986, error = -4.110%
193 true_sum = 56217, estimate_sum = 53857, error = -4.198%
194 true_sum = 55478, estimate_sum = 53423, error = -3.704%
195 true_sum = 54935, estimate_sum = 53348, error = -2.889%
196 true_sum = 54757, estimate_sum = 53004, error = -3.201%
197 true_sum = 55417, estimate_sum = 53699, error = -3.100%
198 true_sum = 55137, estimate_sum = 53225, error = -3.468%
199 true_sum = 55065, estimate_sum = 53807, error = -2.285%
200 true_sum = 54863, estimate_sum = 53666, error = -2.182%
201 true_sum = 55515, estimate_sum = 54156, error = -2.448%
202 true_sum = 54980, estimate_sum = 53847, error = -2.061%
203 true_sum = 54915, estimate_sum = 54225, error = -1.256%
204 true_sum = 54352, estimate_sum = 53934, error = -0.769%
205 true_sum = 55206, estimate_sum = 54535, error = -1.215%
206 true_sum = 55016, estimate_sum = 54231, error = -1.427%
